F,t,r,x,b,T,,,,,,,,,,,,,,,,,,
1,2,0.0026,0.0139,0.4611,175,250,200,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
1,3,0.0546,0.2112,0.0572,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
1,5,0.0218,0.0845,0.0229,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
2,4,0.0328,0.1267,0.0343,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
2,6,0.0497,0.192,0.052,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
3,9,0.0308,0.119,0.0322,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
3,24,0.0023,0.0839,0,400,510,600,1.03,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
4,9,0.0268,0.1037,0.0281,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
5,10,0.0228,0.0883,0.0239,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
6,10,0.0139,0.0605,2.459,175,193,200,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
7,8,0.0159,0.0614,0.0166,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
8,9,0.0427,0.1651,0.0447,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
8,10,0.0427,0.1651,0.0447,175,208,220,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
9,11,0.0023,0.0839,0,400,510,600,1.03,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
9,12,0.0023,0.0839,0,400,510,600,1.03,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
10,11,0.0023,0.0839,0,400,510,600,1.02,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
10,12,0.0023,0.0839,0,400,510,600,1.02,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
11,13,0.0061,0.0476,0.0999,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
11,14,0.0054,0.0418,0.0879,500,625,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
12,13,0.0061,0.0476,0.0999,500,625,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
12,23,0.0124,0.0966,0.203,500,625,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
13,23,0.0111,0.0865,0.1818,500,625,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
14,16,0.005,0.0389,0.0818,500,625,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
15,16,0.0022,0.0173,0.0364,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
15,21,0.0063,0.049,0.103,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
15,21,0.0063,0.049,0.103,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
15,24,0.0067,0.0519,0.1091,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
16,17,0.0033,0.0259,0.0545,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
16,19,0.003,0.0231,0.0485,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
17,18,0.0018,0.0144,0.0303,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
17,22,0.0135,0.1053,0.2212,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
18,21,0.0033,0.0259,0.0545,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
18,21,0.0033,0.0259,0.0545,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
19,20,0.0051,0.0396,0.0833,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
19,20,0.0051,0.0396,0.0833,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
20,23,0.0028,0.0216,0.0455,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
20,23,0.0028,0.0216,0.0455,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
21,22,0.0087,0.0678,0.1424,500,600,625,0,0,1,-360,360;,,,,,,,,,0.0,0.0,0.0
